"","V1","V2"
"X1_371484",1,0
"loc1",1,1
"X1_658928",1,1.422
"loc2",1,2
"X1_950790",1,2.075
"loc3",1,3
"X1_1247666",1,3.013
"X1_1545309",1,3.384
"X1_1831853",1,3.943
"loc4",1,4
"X1_2112359",1,4.408
"loc5",1,5
"X1_2402241",1,5.25
"X1_2689578",1,5.343
"loc6",1,6
"X1_2978310",1,6.112
"X1_3270056",1,6.206
"loc7",1,7
"loc8",1,8
"X1_4139064",1,8.36
"X1_4434414",1,8.842
"loc9",1,9
"X1_4716592",1,9.507
"X1_5008647",1,9.916
"loc10",1,10
"X1_5305697",1,10.312
"loc11",1,11
"X1_5588245",1,11.03
"X1_5876257",1,11.501
"X1_6486531",1,11.97
"loc12",1,12
"X1_6750734",1,12.636
"loc13",1,13
"X1_7043318",1,13.483
"loc14",1,14
"X1_7332032",1,14.053
"X1_7621705",1,14.525
"loc15",1,15
"loc16",1,16
"X1_7906548",1,16.069
"loc17",1,17
"loc18",1,18
"X1_8199225",1,18.117
"X1_8511642",1,18.877
"loc19",1,19
"X1_8846085",1,19.638
"loc20",1,20
"X1_9081675",1,20.792
"loc21",1,21
"X1_9389545",1,21.941
"loc22",1,22
"X1_9645860",1,22.704
"loc23",1,23
"X1_9948571",1,23.652
"loc24",1,24
"X1_10232305",1,24.623
"loc25",1,25
"X1_10517662",1,25.681
"loc26",1,26
"X1_10817536",1,26.545
"loc27",1,27
"loc28",1,28
"X1_11101365",1,28.103
"loc29",1,29
"X1_11402119",1,29.502
"loc30",1,30
"X1_11697338",1,30.882
"loc31",1,31
"loc32",1,32
"X1_11966262",1,32.413
"loc33",1,33
"X1_12344267",1,33.796
"loc34",1,34
"loc35",1,35
"X1_12843656",1,35.512
"loc36",1,36
"loc37",1,37
"X1_13156629",1,37.885
"loc38",1,38
"X1_13451072",1,38.268
"X1_13753592",1,38.363
"X1_14332278",1,38.459
"X1_15889605",1,38.554
"loc39",1,39
"X1_16136207",1,39.911
"loc40",1,40
"X1_16445556",1,40.59
"loc41",1,41
"loc42",1,42
